variable,N,mean,sd,min,p1,p25,p50,p75,p99,max
inventory,45284.0,3052356789.8902473,24697396447.38456,0.0,691567.64,124582938.405,343737501.805,1014215288.915,44447977814.6403,1075617036637.22
investing_cash_flow,46717.0,-2253880414.610135,32650881876.96551,-2417582000000.0,-29495169628.799995,-529429946.97,-155871895.98,-19073083.36,1492050087.135196,602337000000.0
market_type,46963.0,8.764921321039967,12.002779169559044,1.0,1.0,1.0,4.0,16.0,64.0,64.0
market_value_thousand,46963.0,16750389.127856398,61788935.93534271,25433.54,942685.5728,3382546.2800000003,5937640.0,12619564.83,184678654.01419964,2575205490.0
net_income,46728.0,1054484782.6749761,9999427572.05167,-91810091101.49,-2221754795.5824,24181242.717499997,109662479.63499999,373396226.3975,17371489452.940655,370766000000.0
operating_cash_flow,46728.0,2273859328.182126,33873762677.89936,-588009000000.0,-3057335359.3016005,20711963.86,142807762.95499998,516310763.75,31441215933.438244,2112907000000.0
operating_profit,46728.0,1306895208.5668962,12113093139.096815,-71550910000.0,-2054227828.0879,25530059.845,126486795.19,438115490.89,21289037013.86026,424111000000.0
parent_equity,46728.0,11257650871.513191,90851045104.47528,-30519995484.78,37292836.15249999,1070917434.035,2121071266.3049998,4847273452.612499,136710752543.09277,4244259000000.0
parent_net_income,46728.0,974702861.0073137,9679878623.479366,-88556470495.64,-2062611739.78,23996865.82,105545611.765,352680665.1925,15153531150.000385,368562000000.0
rd_expense,34083.0,283038222.8368518,1400886935.087697,0.0,929851.252,28074014.689999998,66613114.02,168340152.44,3453499852.2502027,57978105000.0
revenue,45808.0,11206388547.990616,75258028512.5228,-171421984.2,89841170.5464,732121451.2099999,1800546405.4850001,5068695201.8875,158424874604.98184,3318168000000.0
shares_held,46665.0,680929443.020915,5584141926.653336,3824236.0,12976733.0,62393760.0,141562196.0,344206164.0,7276530317.560015,188791906533.0
top1_ownership_pct,46664.0,32.53126758100463,14.886887738552515,0.29,7.84,21.22,30.08,41.96,73.08590000000018,100.0
total_assets,46728.0,75409219764.16852,1065494878541.9604,8702941.92,380020823.8934,1830030048.465,3862668648.3500004,10342722318.73,740446572244.9705,53477773000000.0
total_equity,46728.0,12437847357.895704,94694627893.24709,-29068665402.31,52320198.5048,1105817486.565,2204409531.41,5143570468.4,166625690000.00305,4272024000000.0
total_liabilities,46728.0,62971532417.7778,977330369736.9128,4427383.21,51396177.1694,507584421.75,1475541995.66,5067759615.04,583183169515.8569,49205749000000.0
total_profit,46728.0,1307148611.5619998,12090065922.96358,-73923814314.97,-2181333986.9614005,29514280.5075,130312227.505,445744804.08,21248471854.040085,424899000000.0
top1,46665.0,0.3253087572056145,0.1488696889588004,0.0029,0.0784,0.2122,0.30079999999999996,0.41960000000000003,0.7308520000000004,1.0
