date,close,symbol,name
2018-01-02,124.28,sh600036,招商银行
2018-01-03,125.63,sh600036,招商银行
2018-01-04,124.39,sh600036,招商银行
2018-01-05,126.14,sh600036,招商银行
2018-01-08,123.69,sh600036,招商银行
2018-01-09,124.86,sh600036,招商银行
2018-01-10,127.81,sh600036,招商银行
2018-01-11,129.32,sh600036,招商银行
2018-01-12,131.61,sh600036,招商银行
2018-01-15,133.28,sh600036,招商银行
2018-01-16,133.09,sh600036,招商银行
2018-01-17,132.31,sh600036,招商银行
2018-01-18,134.76,sh600036,招商银行
2018-01-19,135.3,sh600036,招商银行
2018-01-22,137.71,sh600036,招商银行
2018-01-23,141.48,sh600036,招商银行
2018-01-24,140.7,sh600036,招商银行
2018-01-25,138.99,sh600036,招商银行
2018-01-26,139.22,sh600036,招商银行
2018-01-29,137.32,sh600036,招商银行
2018-01-30,135.73,sh600036,招商银行
2018-01-31,141.05,sh600036,招商银行
2018-02-01,143.03,sh600036,招商银行
2018-02-02,143.22,sh600036,招商银行
2018-02-05,144.74,sh600036,招商银行
2018-02-06,143.69,sh600036,招商银行
2018-02-07,135.03,sh600036,招商银行
2018-02-08,130.72,sh600036,招商银行
2018-02-09,128.51,sh600036,招商银行
2018-02-12,125.94,sh600036,招商银行
2018-02-13,129.28,sh600036,招商银行
2018-02-14,131.07,sh600036,招商银行
2018-02-22,131.58,sh600036,招商银行
2018-02-23,132.66,sh600036,招商银行
2018-02-26,131.61,sh600036,招商银行
2018-02-27,129.13,sh600036,招商银行
2018-02-28,126.92,sh600036,招商银行
2018-03-01,127.3,sh600036,招商银行
2018-03-02,125.87,sh600036,招商银行
2018-03-05,126.33,sh600036,招商银行
2018-03-06,125.91,sh600036,招商银行
2018-03-07,128.74,sh600036,招商银行
2018-03-08,129.32,sh600036,招商银行
2018-03-09,130.22,sh600036,招商银行
2018-03-12,129.01,sh600036,招商银行
2018-03-13,128.59,sh600036,招商银行
2018-03-14,127.27,sh600036,招商银行
2018-03-15,127.77,sh600036,招商银行
2018-03-16,126.26,sh600036,招商银行
2018-03-19,128.51,sh600036,招商银行
2018-03-20,129.59,sh600036,招商银行
2018-03-21,130.64,sh600036,招商银行
2018-03-22,130.53,sh600036,招商银行
2018-03-23,126.95,sh600036,招商银行
2018-03-26,122.29,sh600036,招商银行
2018-03-27,120.78,sh600036,招商银行
2018-03-28,120.7,sh600036,招商银行
2018-03-29,123.07,sh600036,招商银行
2018-03-30,122.22,sh600036,招商银行
2018-04-02,121.91,sh600036,招商银行
2018-04-03,121.13,sh600036,招商银行
2018-04-04,120.94,sh600036,招商银行
2018-04-09,121.25,sh600036,招商银行
2018-04-10,126.88,sh600036,招商银行
2018-04-11,127.65,sh600036,招商银行
2018-04-12,125.48,sh600036,招商银行
2018-04-13,123.96,sh600036,招商银行
2018-04-16,118.41,sh600036,招商银行
2018-04-17,116.78,sh600036,招商银行
2018-04-18,118.53,sh600036,招商银行
2018-04-19,118.92,sh600036,招商银行
2018-04-20,118.8,sh600036,招商银行
2018-04-23,119.11,sh600036,招商银行
2018-04-24,121.32,sh600036,招商银行
2018-04-25,121.17,sh600036,招商银行
2018-04-26,121.09,sh600036,招商银行
2018-04-27,123.15,sh600036,招商银行
2018-05-02,124.04,sh600036,招商银行
2018-05-03,123.03,sh600036,招商银行
2018-05-04,120.86,sh600036,招商银行
2018-05-07,121.6,sh600036,招商银行
2018-05-08,124.51,sh600036,招商银行
2018-05-09,124.78,sh600036,招商银行
2018-05-10,125.13,sh600036,招商银行
2018-05-11,126.06,sh600036,招商银行
2018-05-14,128.93,sh600036,招商银行
2018-05-15,127.93,sh600036,招商银行
2018-05-16,125.63,sh600036,招商银行
2018-05-17,124.97,sh600036,招商银行
2018-05-18,127.54,sh600036,招商银行
2018-05-21,126.8,sh600036,招商银行
2018-05-22,125.05,sh600036,招商银行
2018-05-23,124.24,sh600036,招商银行
2018-05-24,122.26,sh600036,招商银行
2018-05-25,122.68,sh600036,招商银行
2018-05-28,121.09,sh600036,招商银行
2018-05-29,121.63,sh600036,招商银行
2018-05-30,119.15,sh600036,招商银行
2018-05-31,121.01,sh600036,招商银行
2018-06-01,120.31,sh600036,招商银行
2018-06-04,122.84,sh600036,招商银行
2018-06-05,122.88,sh600036,招商银行
