,等权,最小方差,目标8%
中国石化,0.1,0.2,0.19999999999999998
中信证券,0.1,0.02346670805027537,0.03240752514145153
招商银行,0.1,0.03262781459953909,0.02787216144070324
中国联通,0.1,0.08692390566774841,0.07289324651865943
贵州茅台,0.1,0.10296700353813436,0.2
长江电力,0.1,0.2,0.2
工商银行,0.1,0.2,0.2
美的集团,0.1,2.7765807042022573e-19,0.0
格力电器,0.1,0.1540145681443027,0.053219867016917846
五粮液,0.1,4.333648206524202e-18,0.013607199882267898
