date,open,close,high,low,amount
2018-01-02,121.95,124.28,125.98,121.95,675913.07
2018-01-03,124.74,125.63,127.61,124.35,718503.39
2018-01-04,126.84,124.39,127.15,123.42,516865.93
2018-01-05,125.25,126.14,126.72,123.65,479908.2
2018-01-08,125.44,123.69,125.94,123.07,658578.9
2018-01-09,123.89,124.86,125.4,123.23,398677.97
2018-01-10,124.43,127.81,128.74,124.12,799282.86
2018-01-11,127.77,129.32,130.22,127.3,540744.86
2018-01-12,130.1,131.61,131.89,129.71,487343.15
2018-01-15,131.5,133.28,135.07,130.8,673146.01
2018-01-16,132.74,133.09,134.6,131.73,652819.03
2018-01-17,133.91,132.31,137.83,131.58,1026546.38
2018-01-18,133.91,134.76,136.43,133.91,811039.71
2018-01-19,136.08,135.3,138.76,134.33,841328.9
2018-01-22,134.22,137.71,139.89,134.1,945729.55
2018-01-23,138.18,141.48,141.94,138.18,868994.82
2018-01-24,142.25,140.7,146.53,139.15,1176483.67
2018-01-25,141.32,138.99,141.36,137.01,789040.29
2018-01-26,138.14,139.22,142.45,138.14,706673.94
2018-01-29,139.34,137.32,141.59,136.66,684920.95
2018-01-30,137.01,135.73,138.02,135.11,365713.13
2018-01-31,134.84,141.05,141.24,134.37,664794.2
2018-02-01,141.48,143.03,144.86,140.7,692849.61
2018-02-02,141.44,143.22,143.54,140.08,494732.07
2018-02-05,140.62,144.74,145.59,140.51,743285.91
2018-02-06,141.67,143.69,143.96,139.3,1416913.37
2018-02-07,143.54,135.03,144.89,133.91,1502882.62
2018-02-08,133.32,130.72,134.99,128.97,1069829.61
2018-02-09,127.03,128.51,128.9,120.31,1327539.69
2018-02-12,127.3,125.94,128.24,123.42,876966.16
2018-02-13,127.23,129.28,130.68,127.11,799267.73
2018-02-14,129.44,131.07,131.46,127.38,334942.93
2018-02-22,133.05,131.58,134.29,130.33,677681.09
2018-02-23,131.58,132.66,133.91,130.49,515007.54
2018-02-26,133.09,131.61,134.88,130.53,718618.12
2018-02-27,131.85,129.13,132.16,128.27,715338.2
2018-02-28,127.23,126.92,128.66,125.79,532577.06
2018-03-01,125.87,127.3,129.09,125.79,402769.61
2018-03-02,126.22,125.87,127.54,125.83,338759.97
2018-03-05,126.14,126.33,128.0,125.44,336201.19
2018-03-06,127.27,125.91,127.58,123.77,618836.56
2018-03-07,127.69,128.74,129.94,127.11,842334.44
2018-03-08,129.05,129.32,129.87,127.34,405007.23
2018-03-09,130.41,130.22,131.58,129.56,355100.45
2018-03-12,131.34,129.01,131.54,128.86,581736.96
2018-03-13,129.25,128.59,131.11,128.2,373746.86
2018-03-14,127.96,127.27,128.08,126.57,263175.99
2018-03-15,126.57,127.77,128.39,126.57,241959.76
2018-03-16,127.96,126.26,128.39,126.14,368024.29
2018-03-19,125.79,128.51,128.62,125.36,322733.32
2018-03-20,127.89,129.59,130.02,127.73,382394.59
2018-03-21,130.72,130.64,132.74,130.1,585145.45
2018-03-22,130.72,130.53,131.69,127.93,446275.24
2018-03-23,126.92,126.95,127.3,125.17,866428.19
2018-03-26,126.76,122.29,126.76,120.9,905780.29
2018-03-27,124.0,120.78,124.55,119.93,805431.33
2018-03-28,119.54,120.7,123.58,118.96,787978.73
2018-03-29,120.82,123.07,124.94,118.76,679494.17
2018-03-30,123.3,122.22,123.81,121.79,356753.22
2018-04-02,121.87,121.91,124.24,121.48,477386.97
2018-04-03,121.32,121.13,121.75,120.12,302253.98
2018-04-04,121.4,120.94,122.92,120.39,377821.79
2018-04-09,121.32,121.25,122.53,120.47,277424.11
2018-04-10,121.25,126.88,126.99,120.35,586014.6
2018-04-11,127.07,127.65,129.44,125.94,560433.06
2018-04-12,127.69,125.48,127.69,124.94,337674.98
2018-04-13,125.94,123.96,127.11,123.89,260108.73
2018-04-16,122.64,118.41,122.68,117.79,914627.03
2018-04-17,118.96,116.78,119.11,116.35,610749.71
2018-04-18,119.07,118.53,119.34,115.5,659779.7
2018-04-19,118.68,118.92,120.9,118.06,424328.62
2018-04-20,118.18,118.8,118.96,117.21,397994.55
2018-04-23,117.71,119.11,119.73,117.64,301521.8
2018-04-24,119.15,121.32,123.81,119.15,670264.12
2018-04-25,121.32,121.17,122.22,120.35,251675.46
2018-04-26,122.26,121.09,123.11,120.12,339607.49
2018-04-27,121.48,123.15,123.58,119.3,575079.32
2018-05-02,125.67,124.04,126.14,123.3,490570.35
2018-05-03,123.19,123.03,124.51,120.9,321741.38
2018-05-04,122.95,120.86,122.99,120.35,337697.17
2018-05-07,120.97,121.6,121.87,120.0,307493.61
2018-05-08,121.87,124.51,125.32,121.4,503129.02
2018-05-09,124.59,124.78,125.36,123.93,222625.72
2018-05-10,125.75,125.13,126.49,123.42,322191.88
2018-05-11,124.7,126.06,126.53,124.51,435345.0
2018-05-14,127.69,128.93,130.45,126.92,707667.57
2018-05-15,129.05,127.93,129.25,126.99,329875.5
2018-05-16,127.23,125.63,127.34,125.28,344519.12
2018-05-17,125.75,124.97,126.57,124.2,290467.05
2018-05-18,124.86,127.54,127.96,124.08,394017.91
2018-05-21,128.55,126.8,129.59,126.29,415216.42
2018-05-22,126.29,125.05,126.68,124.31,365426.24
2018-05-23,124.97,124.24,125.44,123.85,296513.43
2018-05-24,124.2,122.26,124.51,121.87,355224.98
2018-05-25,122.18,122.68,123.54,121.83,251505.2
2018-05-28,122.76,121.09,123.11,119.58,605072.16
2018-05-29,120.51,121.63,121.79,119.58,480534.15
2018-05-30,119.93,119.15,120.43,119.07,339588.88
2018-05-31,119.5,121.01,121.95,119.38,522925.83
2018-06-01,121.01,120.31,121.79,119.93,293259.87
2018-06-04,121.52,122.84,122.95,120.39,433343.96
2018-06-05,122.53,122.88,123.23,121.48,372882.25
2018-06-06,122.53,121.09,122.88,120.94,345608.15
2018-06-07,121.48,121.48,122.92,120.94,494430.68
2018-06-08,120.9,118.76,121.01,118.68,426216.27
2018-06-11,118.76,120.43,120.51,117.75,378331.56
2018-06-12,120.39,120.86,121.71,120.39,311971.55
2018-06-13,120.9,120.74,121.75,120.31,267532.33
2018-06-14,120.51,120.2,122.06,119.65,343383.56
2018-06-15,119.81,121.63,122.18,119.62,419549.31
2018-06-19,120.47,121.83,122.8,119.73,1206094.33
2018-06-20,121.01,119.96,121.4,119.23,364526.37
2018-06-21,120.0,120.51,122.1,119.93,316216.66
2018-06-22,120.59,120.39,121.01,119.07,221997.49
2018-06-25,120.62,116.7,120.74,116.63,482160.15
2018-06-26,115.97,113.71,116.0,110.99,623228.18
2018-06-27,112.86,111.5,113.64,110.61,442689.36
2018-06-28,111.19,109.64,111.38,108.67,439700.14
2018-06-29,110.14,111.93,112.51,110.1,309110.69
2018-07-02,111.93,108.04,113.05,107.5,435187.1
2018-07-03,108.04,107.19,108.16,105.17,658584.03
2018-07-04,107.03,106.53,108.32,106.18,369649.5
2018-07-05,107.0,108.04,108.35,106.1,495925.11
2018-07-06,108.24,109.6,110.92,106.26,441258.91
2018-07-09,110.22,113.91,114.18,110.22,527058.16
2018-07-10,114.14,113.32,114.49,112.39,326841.86
2018-07-11,110.53,112.55,113.29,110.22,316712.58
2018-07-12,112.7,113.64,115.23,111.54,469426.52
2018-07-13,114.57,114.37,114.65,113.36,247061.06
2018-07-16,114.14,112.2,115.73,111.85,359321.94
2018-07-17,111.54,111.03,112.2,109.99,289369.01
2018-07-18,111.81,110.72,113.25,110.41,332355.25
2018-07-19,111.85,112.0,113.05,111.54,395286.7
2018-07-20,112.0,118.84,119.11,111.15,1010892.31
2018-07-23,118.88,120.7,121.83,117.29,924108.84
2018-07-24,120.7,120.28,123.58,119.58,694538.92
2018-07-25,122.02,122.1,122.99,120.66,430216.84
2018-07-26,122.64,121.71,124.94,120.78,458657.24
2018-07-27,121.71,121.6,123.11,119.73,308430.01
2018-07-30,121.6,123.61,124.55,120.86,383391.28
2018-07-31,123.58,122.76,124.08,121.05,348277.76
2018-08-01,123.93,120.74,125.48,120.66,536866.11
2018-08-02,120.47,118.06,121.63,117.36,571923.9
2018-08-03,118.64,118.3,120.24,118.06,298116.45
2018-08-06,118.84,119.65,121.6,118.14,385964.05
2018-08-07,119.65,123.11,123.19,119.27,513960.0
2018-08-08,123.58,121.67,123.58,121.29,282441.43
2018-08-09,121.01,124.24,124.97,120.86,403921.18
2018-08-10,124.39,122.95,124.55,121.75,271445.65
2018-08-13,121.71,120.12,121.71,118.33,467600.18
2018-08-14,119.93,119.34,120.43,118.3,265917.33
2018-08-15,119.34,116.2,119.42,115.69,384433.06
2018-08-16,114.61,116.35,117.91,114.26,383702.46
2018-08-17,117.75,115.5,118.14,115.19,259363.25
2018-08-20,117.32,117.21,117.79,115.11,369550.56
2018-08-21,117.52,117.75,118.99,116.94,369906.29
2018-08-22,118.1,117.52,118.14,116.66,202681.37
2018-08-23,117.91,118.53,119.11,116.66,321319.89
2018-08-24,117.95,120.08,122.41,117.21,480269.75
2018-08-27,121.44,123.34,123.61,120.66,510807.55
2018-08-28,123.46,123.65,125.17,123.34,368443.55
2018-08-29,123.69,124.2,125.13,122.99,260969.41
2018-08-30,124.08,121.79,124.62,121.56,272573.33
2018-08-31,121.29,122.37,124.16,121.17,460881.48
2018-09-03,122.49,121.79,122.95,121.09,260701.01
2018-09-04,121.95,123.73,124.16,120.97,328223.55
2018-09-05,122.61,120.04,123.11,120.0,359403.14
2018-09-06,120.08,119.3,120.66,119.03,245919.32
2018-09-07,119.89,121.91,122.02,119.69,397195.87
2018-09-10,121.09,120.86,122.41,120.39,263784.71
2018-09-11,121.05,118.92,121.63,117.91,334693.3
2018-09-12,118.22,118.92,119.69,117.4,229876.13
2018-09-13,121.01,120.31,121.32,118.49,306764.78
2018-09-14,121.21,120.78,121.21,120.0,175460.04
2018-09-17,120.2,119.11,120.47,118.8,162202.19
2018-09-18,119.11,121.95,122.22,118.84,399372.29
2018-09-19,121.87,122.8,123.77,121.09,432734.86
2018-09-20,123.5,123.23,124.55,122.68,286582.73
2018-09-21,123.96,130.18,130.18,122.99,778372.95
2018-09-25,128.35,127.54,129.36,126.37,527381.86
2018-09-26,128.04,130.76,132.86,126.72,749317.99
2018-09-27,130.02,130.68,131.69,129.05,402571.93
2018-09-28,131.61,131.69,133.32,130.18,556008.15
2018-10-08,127.85,126.8,129.36,126.53,623333.82
2018-10-09,126.41,126.68,127.81,125.13,421493.3
2018-10-10,126.49,127.46,128.59,125.71,390003.77
2018-10-11,123.81,122.99,125.4,121.67,615476.91
2018-10-12,123.96,125.75,126.57,123.03,661307.02
2018-10-15,125.75,124.12,125.83,123.38,349998.84
2018-10-16,124.43,125.52,128.24,124.12,577691.91
2018-10-17,126.68,125.13,127.07,121.95,668764.04
2018-10-18,124.28,120.86,124.55,120.78,574418.73
2018-10-19,120.28,125.94,126.6,119.3,767032.29
2018-10-22,127.19,129.01,131.11,127.19,840796.84
2018-10-23,129.63,125.21,129.63,124.16,594114.38
2018-10-24,125.56,126.64,130.25,125.48,635824.28
2018-10-25,124.24,127.69,127.93,124.12,558418.84
2018-10-26,127.61,127.46,128.7,125.05,495762.95
2018-10-29,128.24,120.66,128.24,118.99,954877.44
2018-10-30,121.71,122.61,124.59,119.62,743575.88
2018-10-31,124.35,124.78,125.05,122.76,666013.08
2018-11-01,126.88,125.32,127.65,123.81,682600.26
2018-11-02,128.62,130.29,130.76,126.72,1220051.02
2018-11-05,128.43,129.01,129.91,127.89,428334.88
2018-11-06,129.01,128.51,129.44,126.53,375065.53
2018-11-07,128.55,127.34,129.79,127.19,549867.67
2018-11-08,129.09,129.05,130.45,128.24,479149.76
2018-11-09,127.46,123.58,127.46,123.15,1193021.21
2018-11-12,122.8,123.42,123.96,122.14,683977.44
2018-11-13,121.63,123.5,124.24,121.44,500356.45
2018-11-14,123.5,121.87,123.77,121.25,535874.79
2018-11-15,122.18,122.72,123.07,121.56,354124.35
2018-11-16,122.72,123.11,123.89,121.98,496955.28
2018-11-19,123.96,124.94,125.28,122.99,502881.77
2018-11-20,124.31,122.88,124.51,122.45,338277.88
2018-11-21,122.02,122.8,122.92,121.63,323377.87
2018-11-22,122.84,122.41,122.99,121.63,275858.49
2018-11-23,122.37,120.78,122.61,120.78,325389.36
2018-11-26,121.25,122.29,122.61,120.9,275469.54
2018-11-27,122.1,121.21,122.72,120.66,337658.56
2018-11-28,121.52,122.33,122.61,121.44,290873.89
2018-11-29,123.19,122.41,123.58,122.41,397949.93
2018-11-30,122.26,123.38,123.5,122.06,254380.81
2018-12-03,127.03,126.92,127.58,124.86,690255.56
2018-12-04,126.76,127.34,127.58,126.33,323685.58
2018-12-05,125.75,126.57,127.34,125.13,262307.36
2018-12-06,124.74,124.74,125.71,124.28,373380.23
2018-12-07,125.48,123.5,125.87,123.3,305228.73
2018-12-10,122.41,122.57,123.19,122.1,266986.42
2018-12-11,122.61,123.23,123.38,122.33,227290.13
2018-12-12,125.13,123.03,125.13,122.84,202093.93
2018-12-13,123.3,124.16,125.4,122.84,551520.33
