,leverage_consolidated,roa_eop_consolidated,roa_parent_income_eop_candidate,roa_avg_consolidated,roa_parent_income_avg_candidate,roe_eop_consolidated,roe_avg_consolidated,roe_parent_eop_consolidated,roe_parent_avg_consolidated
leverage_consolidated,1.0,-0.6221388107564146,-0.6418047734159251,-0.45124218269056726,-0.4577327607526474,-0.0010403935511595717,6.958627582653711e-05,-0.012503403745015587,-0.004984947816448293
roa_eop_consolidated,-0.6221388107564146,1.0,0.9824116825450003,0.6446835931384407,0.6414703361959805,0.031708550272855386,0.03310585587955071,0.10818859098885122,0.018008761831581788
roa_parent_income_eop_candidate,-0.6418047734159251,0.9824116825450003,1.0,0.6507717207790502,0.6544818522933508,0.032471777562201355,0.030121415311079747,0.10648240031113994,0.017301940079296623
roa_avg_consolidated,-0.45124218269056726,0.6446835931384407,0.6507717207790502,1.0,0.9970155233595903,0.048520510919988456,0.05841565121671258,0.18063365189660105,0.034946369720166924
roa_parent_income_avg_candidate,-0.4577327607526474,0.6414703361959805,0.6544818522933508,0.9970155233595903,1.0,0.0537680766510907,0.05540781194950291,0.17857422882147564,0.03408622084707448
roe_eop_consolidated,-0.0010403935511595717,0.031708550272855386,0.032471777562201355,0.048520510919988456,0.0537680766510907,1.0,0.0035484611848149343,0.2063329842553514,-0.0726840666928997
roe_avg_consolidated,6.958627582653711e-05,0.03310585587955071,0.030121415311079747,0.05841565121671258,0.05540781194950291,0.0035484611848149343,1.0,0.02032846288410036,0.15022664585818404
roe_parent_eop_consolidated,-0.012503403745015587,0.10818859098885122,0.10648240031113994,0.18063365189660105,0.17857422882147564,0.2063329842553514,0.02032846288410036,1.0,0.001809246615211519
roe_parent_avg_consolidated,-0.004984947816448293,0.018008761831581788,0.017301940079296623,0.034946369720166924,0.03408622084707448,-0.0726840666928997,0.15022664585818404,0.001809246615211519,1.0
